Mannschaften
01: Allrad-Freunde Heidelsheim
02: Offroad Abenteuer Hottingen
15: MSC Aulendorf e.V.
15: 4x4 Schlammtiger Saar e.V.
20: ASC Melsungen e.V.
22: Off-Road Club Night Hunters e.V. 
24: ORC Grenzland e.V.
25: Geländewagen KULTour
26: DMV - Deutscher Motorsportverband
27: IG 4x4 Freunde Drüpplingsen
29: 4x4 Freunde Ilsfeld
30: AC Helfenstein e.V.
31: IG 4x4 Hameln e.V.
32: Allrad-Freunde Eifel e.V.
42: 4x4 Freunde Mainz e.V.
44: ORF Kurpfalz e.V.
51: MSC Asbach e.V.
52: Allrad-Club Berg Auf e.V.
53: SCC Bramsche e.V.
54: Allrad Spezis Franken
55: ORC Mudracer
60: Mercedes G Club
Highlander`s
64: ORLA Trial Sport
67: 4x4 Dreckspatze
77:MSC Schloß Holte Stukenbrock
97: IG Offroad Freunde Rhön
